mask_id,date,event_description_norm,team_away,team_home,game_key,wager_amount
101293,2025-02-28,Brooklyn Nets @ Detroit Pistons,Brooklyn Nets,Detroit Pistons,Brooklyn Nets @ Detroit Pistons,0
100897,2025-02-28,Cleveland Cavaliers @ Boston Celtics,Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers @ Boston Celtics,0
101293,2025-02-28,Cleveland Cavaliers @ Boston Celtics,Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers @ Boston Celtics,0
100897,2025-02-28,Denver Nuggets @ Detroit Pistons,Denver Nuggets,Detroit Pistons,Denver Nuggets @ Detroit Pistons,0
101293,2025-02-28,Denver Nuggets @ Detroit Pistons,Denver Nuggets,Detroit Pistons,Denver Nuggets @ Detroit Pistons,0.009091
100897,2025-02-28,Golden State Warriors @ Philadelphia 76Ers,Golden State Warriors,Philadelphia 76Ers,Golden State Warriors @ Philadelphia 76Ers,0
101293,2025-02-28,Golden State Warriors @ Philadelphia 76Ers,Golden State Warriors,Philadelphia 76Ers,Golden State Warriors @ Philadelphia 76Ers,0
100897,2025-02-28,Indiana Pacers @ Miami Heat,Indiana Pacers,Miami Heat,Indiana Pacers @ Miami Heat,0
101293,2025-02-28,Indiana Pacers @ Miami Heat,Indiana Pacers,Miami Heat,Indiana Pacers @ Miami Heat,0.028182
100897,2025-02-28,Los Angeles Clippers @ Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers @ Los Angeles Lakers,500
101293,2025-02-28,Los Angeles Clippers @ Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers @ Los Angeles Lakers,0.028182
100897,2025-02-28,Milwaukee Bucks @ Dallas Mavericks,Milwaukee Bucks,Dallas Mavericks,Milwaukee Bucks @ Dallas Mavericks,0
101293,2025-02-28,Milwaukee Bucks @ Dallas Mavericks,Milwaukee Bucks,Dallas Mavericks,Milwaukee Bucks @ Dallas Mavericks,0
100897,2025-02-28,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0
101293,2025-02-28,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0
100897,2025-02-28,Minnesota Timberwolves @ Utah Jazz,Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves @ Utah Jazz,0
101293,2025-02-28,Minnesota Timberwolves @ Utah Jazz,Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves @ Utah Jazz,0
100897,2025-02-28,New Orleans Pelicans @ Phoenix Suns,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans @ Phoenix Suns,0
101293,2025-02-28,New Orleans Pelicans @ Phoenix Suns,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans @ Phoenix Suns,0.019091
100897,2025-02-28,New York Knicks @ Memphis Grizzlies,New York Knicks,Memphis Grizzlies,New York Knicks @ Memphis Grizzlies,0
101293,2025-02-28,New York Knicks @ Memphis Grizzlies,New York Knicks,Memphis Grizzlies,New York Knicks @ Memphis Grizzlies,0.009091
100897,2025-02-28,Oklahoma City Thunder @ Atlanta Hawks,Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder @ Atlanta Hawks,0
101293,2025-02-28,Oklahoma City Thunder @ Atlanta Hawks,Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder @ Atlanta Hawks,0.009091
100897,2025-02-28,Portland Trail Blazers @ Brooklyn Nets,Portland Trail Blazers,Brooklyn Nets,Portland Trail Blazers @ Brooklyn Nets,0
101293,2025-02-28,Portland Trail Blazers @ Brooklyn Nets,Portland Trail Blazers,Brooklyn Nets,Portland Trail Blazers @ Brooklyn Nets,0.018182
100897,2025-02-28,Sacramento Kings @ Houston Rockets,Sacramento Kings,Houston Rockets,Sacramento Kings @ Houston Rockets,0
101293,2025-02-28,Sacramento Kings @ Houston Rockets,Sacramento Kings,Houston Rockets,Sacramento Kings @ Houston Rockets,0
